areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
W92000004,Wales,nation,2021-11-14,,,2659,
W92000004,Wales,nation,2021-11-13,,,0,
W92000004,Wales,nation,2021-11-12,6282,,2784,0
W92000004,Wales,nation,2021-11-11,6282,,2134,1
W92000004,Wales,nation,2021-11-10,6281,,2171,4
W92000004,Wales,nation,2021-11-09,6277,,1784,7
W92000004,Wales,nation,2021-11-08,6270,,4303,7
W92000004,Wales,nation,2021-11-07,6263,,2583,9
W92000004,Wales,nation,2021-11-06,6254,,0,7
W92000004,Wales,nation,2021-11-05,6247,,1986,11
W92000004,Wales,nation,2021-11-04,6236,,2799,8
W92000004,Wales,nation,2021-11-03,6228,,2492,7
W92000004,Wales,nation,2021-11-02,6221,,2210,9
W92000004,Wales,nation,2021-11-01,6212,,4983,9
W92000004,Wales,nation,2021-10-31,6203,,3016,11
W92000004,Wales,nation,2021-10-30,6192,,0,12
W92000004,Wales,nation,2021-10-29,6180,,2561,12
W92000004,Wales,nation,2021-10-28,6168,,2664,12
W92000004,Wales,nation,2021-10-27,6156,,2582,7
W92000004,Wales,nation,2021-10-26,6149,,5288,10
W92000004,Wales,nation,2021-10-25,6139,,0,5
W92000004,Wales,nation,2021-10-24,6134,,3152,9
W92000004,Wales,nation,2021-10-23,6125,,0,4
W92000004,Wales,nation,2021-10-22,6121,,3296,5
W92000004,Wales,nation,2021-10-21,6116,,4240,15
W92000004,Wales,nation,2021-10-20,6101,,3450,16
W92000004,Wales,nation,2021-10-19,6085,,3200,11
W92000004,Wales,nation,2021-10-18,6074,,6398,8
W92000004,Wales,nation,2021-10-17,6066,,2965,8
W92000004,Wales,nation,2021-10-16,6058,,0,12
W92000004,Wales,nation,2021-10-15,6046,,3130,12
W92000004,Wales,nation,2021-10-14,6034,,2635,14
W92000004,Wales,nation,2021-10-13,6020,,2266,7
W92000004,Wales,nation,2021-10-12,6013,,2047,9
W92000004,Wales,nation,2021-10-11,6004,,4469,5
W92000004,Wales,nation,2021-10-10,5999,,0,10
W92000004,Wales,nation,2021-10-09,5989,,0,3
W92000004,Wales,nation,2021-10-08,5986,,5705,6
W92000004,Wales,nation,2021-10-07,5980,,3400,9
W92000004,Wales,nation,2021-10-06,5971,,2007,12
W92000004,Wales,nation,2021-10-05,5959,,1758,7
W92000004,Wales,nation,2021-10-04,5952,,3986,4
W92000004,Wales,nation,2021-10-03,5948,,2331,5
W92000004,Wales,nation,2021-10-02,5943,,0,8
W92000004,Wales,nation,2021-10-01,5935,,3009,10
W92000004,Wales,nation,2021-09-30,5925,,2580,11
W92000004,Wales,nation,2021-09-29,5914,,3369,12
W92000004,Wales,nation,2021-09-28,5902,,2270,10
W92000004,Wales,nation,2021-09-27,5892,,5659,9
W92000004,Wales,nation,2021-09-26,5883,,3303,5
W92000004,Wales,nation,2021-09-25,5878,,0,7
W92000004,Wales,nation,2021-09-24,5871,,2727,5
W92000004,Wales,nation,2021-09-23,5866,,2476,8
W92000004,Wales,nation,2021-09-22,5858,,2485,5
W92000004,Wales,nation,2021-09-21,5853,,2576,3
W92000004,Wales,nation,2021-09-20,5850,,5258,8
W92000004,Wales,nation,2021-09-19,5842,,2717,3
W92000004,Wales,nation,2021-09-18,5839,,0,5
W92000004,Wales,nation,2021-09-17,5834,,2618,15
W92000004,Wales,nation,2021-09-16,5819,,2891,14
W92000004,Wales,nation,2021-09-15,5805,,2298,15
W92000004,Wales,nation,2021-09-14,5790,,1924,6
W92000004,Wales,nation,2021-09-13,5784,,4308,7
W92000004,Wales,nation,2021-09-12,5777,,2317,7
W92000004,Wales,nation,2021-09-11,5770,,0,7
W92000004,Wales,nation,2021-09-10,5763,,2467,10
W92000004,Wales,nation,2021-09-09,5753,,2297,11
W92000004,Wales,nation,2021-09-08,5742,,2669,6
W92000004,Wales,nation,2021-09-07,5736,,2504,8
W92000004,Wales,nation,2021-09-06,5728,,5161,3
W92000004,Wales,nation,2021-09-05,5725,,2389,10
W92000004,Wales,nation,2021-09-04,5715,,0,6
W92000004,Wales,nation,2021-09-03,5709,,2391,5
W92000004,Wales,nation,2021-09-02,5704,,2275,9
W92000004,Wales,nation,2021-09-01,5695,,3328,1
W92000004,Wales,nation,2021-08-31,5694,,3872,4
W92000004,Wales,nation,2021-08-30,5690,,0,3
W92000004,Wales,nation,2021-08-29,5687,,2357,6
W92000004,Wales,nation,2021-08-28,5681,,0,3
W92000004,Wales,nation,2021-08-27,5678,,1791,6
W92000004,Wales,nation,2021-08-26,5672,,2389,1
W92000004,Wales,nation,2021-08-25,5671,,1705,5
W92000004,Wales,nation,2021-08-24,5666,,1393,1
W92000004,Wales,nation,2021-08-23,5665,,3247,3
W92000004,Wales,nation,2021-08-22,5662,,1626,1
W92000004,Wales,nation,2021-08-21,5661,,0,0
W92000004,Wales,nation,2021-08-20,5661,,1728,4
W92000004,Wales,nation,2021-08-19,5657,,1480,2
W92000004,Wales,nation,2021-08-18,5655,,1373,2
W92000004,Wales,nation,2021-08-17,5653,,761,1
W92000004,Wales,nation,2021-08-16,5652,,2394,0
W92000004,Wales,nation,2021-08-15,5652,,1099,5
W92000004,Wales,nation,2021-08-14,5647,,0,4
W92000004,Wales,nation,2021-08-13,5643,,1090,1
W92000004,Wales,nation,2021-08-12,5642,,1846,5
W92000004,Wales,nation,2021-08-11,5637,,0,0
W92000004,Wales,nation,2021-08-10,5637,,543,4
W92000004,Wales,nation,2021-08-09,5633,,1364,2
W92000004,Wales,nation,2021-08-08,5631,,864,0
W92000004,Wales,nation,2021-08-07,5631,,0,1
W92000004,Wales,nation,2021-08-06,5630,,803,2
W92000004,Wales,nation,2021-08-05,5628,,681,1
W92000004,Wales,nation,2021-08-04,5627,,608,0
W92000004,Wales,nation,2021-08-03,5627,,581,4
W92000004,Wales,nation,2021-08-02,5623,,1106,3
W92000004,Wales,nation,2021-08-01,5620,,719,3
W92000004,Wales,nation,2021-07-31,5617,,0,2
W92000004,Wales,nation,2021-07-30,5615,,824,0
W92000004,Wales,nation,2021-07-29,5615,,724,1
W92000004,Wales,nation,2021-07-28,5614,,588,4
W92000004,Wales,nation,2021-07-27,5610,,704,3
W92000004,Wales,nation,2021-07-26,5607,,1130,2
W92000004,Wales,nation,2021-07-25,5605,,1238,2
W92000004,Wales,nation,2021-07-24,5603,,0,3
